,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
19,Interstellar,-2014,169 min,8.7,74,"1,704,300",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
20,The Matrix,-1999,136 min,8.7,73,"1,844,278",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
21,Goodfellas,-1990,146 min,8.7,90,"1,105,292",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
22,The Empire Strikes Back,-1980,124 min,8.7,82,"1,239,642",$290.48M,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
23,One Flew Over the Cuckoo's Nest,-1975,133 min,8.7,84,"976,437",$112.00M,"A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
24,Shichinin no samurai,-1954,207 min,8.7,98,"336,757",$0.27M,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
25,It's a Wonderful Life,-1946,130 min,8.7,89,"441,544",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
26,Asuran,-2019,141 min,8.6,N/A,"25,643",N/A,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. Will the farmer, a loving father and a pacifist by heart, be able to save his hot-blooded son is the rest of the story."
27,96,(II) (2018),158 min,8.6,N/A,"28,034",N/A,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
28,Drishyam 2,-2021,152 min,8.6,N/A,"34,213",N/A,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
29,Spider-Man: No Way Home,-2021,148 min,8.6,71,"518,443",#56,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
30,Cidade de Deus,-2002,130 min,8.6,79,"736,839",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
31,The Pianist,-2002,150 min,8.6,85,"797,801",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
32,Sen to Chihiro no kamikakushi,-2001,125 min,8.6,96,"723,066",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
33,Saving Private Ryan,-1998,169 min,8.6,91,"1,334,327",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
34,The Green Mile,-1999,189 min,8.6,61,"1,244,792",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
35,La vita è bella,-1997,116 min,8.6,59,"671,264",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
36,Se7en,-1995,127 min,8.6,65,"1,569,646",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
37,Léon,-1994,110 min,8.6,64,"1,116,728",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
38,Terminator 2: Judgment Day,-1991,137 min,8.6,75,"1,060,186",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg."
39,The Silence of the Lambs,-1991,118 min,8.6,85,"1,373,424",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
40,Back to the Future,-1985,116 min,8.6,87,"1,149,519",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
41,Star Wars,-1977,121 min,8.6,90,"1,311,114",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
42,Seppuku,-1962,133 min,8.6,85,"52,875",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
43,Chhichhore,-2019,143 min,8.5,N/A,"48,576",$0.90M,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
44,K.G.F: Chapter 1,-2018,156 min,8.5,N/A,"57,018",N/A,"In the 1970s, a gangster goes undercover as a slave to assassinate the owner of a notorious gold mine."
45,Ratsasan,-2018,170 min,8.5,N/A,"38,393",N/A,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
46,Gisaengchung,-2019,132 min,8.5,96,"726,006",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
47,Ayla: The Daughter of War,-2017,125 min,8.5,N/A,"38,490",N/A,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
48,Avengers: Infinity War,-2018,149 min,8.5,68,"992,026",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
49,Whiplash,-2014,106 min,8.5,88,"797,431",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
50,Django Unchained,-2012,165 min,8.5,81,"1,479,295",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi."
51,The Intouchables,-2011,112 min,8.5,57,"823,686",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,3 Idiots,-2009,170 min,8.5,67,"381,286",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
53,The Prestige,-2006,130 min,8.5,66,"1,283,055",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
54,The Departed,-2006,151 min,8.5,85,"1,275,443",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
55,Memento,-2000,113 min,8.5,80,"1,198,595",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
56,Gladiator,-2000,155 min,8.5,67,"1,441,697",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
57,American History X,-1998,119 min,8.5,62,"1,089,655",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
58,The Usual Suspects,-1995,106 min,8.5,77,"1,053,821",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
59,The Lion King,-1994,88 min,8.5,88,"1,014,678",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
60,Nuovo Cinema Paradiso,-1988,155 min,8.5,80,"252,466",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
61,Hotaru no haka,-1988,89 min,8.5,94,"263,406",#48,A young boy and his little sister struggle to survive in Japan during World War II.
62,Apocalypse Now,-1979,147 min,8.5,94,"645,957",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
63,Alien,-1979,117 min,8.5,89,"846,430",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
64,Once Upon a Time in the West,-1968,165 min,8.5,80,"321,365",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
65,Psycho,-1960,109 min,8.5,97,"648,214",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
66,Rear Window,-1954,112 min,8.5,100,"477,246",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
67,Casablanca,-1942,102 min,8.5,100,"555,841",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
68,Modern Times,-1936,87 min,8.5,96,"235,395",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
69,City Lights,-1931,87 min,8.5,99,"180,393",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
70,Hamilton,-2020,160 min,8.4,90,"84,317",#113,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
71,Uri: The Surgical Strike,-2019,138 min,8.4,N/A,"56,623",$4.19M,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
72,Capharnaüm,-2018,126 min,8.4,75,"82,927",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
73,Joker,(I) (2019),122 min,8.4,59,"1,160,925",$335.45M,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
74,Vikram Vedha,-2017,147 min,8.4,N/A,"36,337",N/A,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
75,Kimi no na wa.,-2016,106 min,8.4,79,"244,361",$5.02M,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
76,Dangal,-2016,161 min,8.4,N/A,"179,724",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
77,Spider-Man: Into the Spider-Verse,-2018,117 min,8.4,87,"477,205",$190.24M,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
78,Avengers: Endgame,-2019,181 min,8.4,78,"1,025,894",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
79,Coco,(I) (2017),105 min,8.4,81,"467,388",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
80,The Batman,-2022,176 min,8.4,72,"232,230",#99,"When the Riddler, a sadistic serial killer, begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
81,The Dark Knight Rises,-2012,164 min,8.4,78,"1,631,570",$448.14M,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
82,Taare Zameen Par,-2007,165 min,8.4,N/A,"186,748",$1.22M,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
83,WALL·E,-2008,98 min,8.4,95,"1,074,131",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
84,The Lives of Others,-2006,137 min,8.4,89,"380,866",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
85,Oldeuboi,-2003,101 min,8.4,77,"557,233",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
86,American Beauty,-1999,122 min,8.4,84,"1,125,668",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
87,Mononoke-hime,-1997,134 min,8.4,76,"377,971",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
88,Braveheart,-1995,178 min,8.4,68,"1,010,396",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
89,Idi i smotri,-1985,142 min,8.4,N/A,"73,242",#106,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
90,Aliens,-1986,137 min,8.4,84,"694,769",$85.16M,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators."
91,Once Upon a Time in America,-1984,229 min,8.4,75,"339,858",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
92,Amadeus,-1984,160 min,8.4,88,"390,979",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him."
93,Raiders of the Lost Ark,-1981,115 min,8.4,85,"937,518",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers."
94,Das Boot,-1981,149 min,8.4,86,"245,669",$11.49M,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
95,The Shining,-1980,146 min,8.4,66,"975,609",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
96,Tengoku to jigoku,-1963,143 min,8.4,N/A,"42,048",#92,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,-1964,95 min,8.4,97,"477,038",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
98,Witness for the Prosecution,-1957,116 min,8.4,N/A,"120,895",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
99,Paths of Glory,-1957,88 min,8.4,90,"191,846",#62,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
100,Pather Panchali,-1955,125 min,8.4,N/A,"30,864",$0.54M,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
101,Sunset Blvd.,-1950,110 min,8.4,N/A,"216,078",#60,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
102,The Great Dictator,-1940,125 min,8.4,N/A,"218,611",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
103,1917,-2019,119 min,8.3,78,"538,089",$159.23M,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
104,Tumbbad,-2018,104 min,8.3,N/A,"40,560",N/A,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
105,Baahubali 2: The Conclusion,-2017,167 min,8.3,N/A,"85,992",$20.19M,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom."
106,Drishyam,-2013,160 min,8.3,N/A,"40,009",N/A,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
107,Bhaag Milkha Bhaag,-2013,186 min,8.3,N/A,"66,318",$1.63M,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
108,Jagten,-2012,115 min,8.3,77,"316,048",$0.69M,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
109,Jodaeiye Nader az Simin,-2011,123 min,8.3,95,"239,620",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
110,Incendies,-2010,131 min,8.3,80,"170,117",$6.86M,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
111,Kimetsu no Yaiba: Mugen Ressha-Hen,-2020,117 min,8.3,72,"50,080",$47.70M,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
112,Up,-2009,96 min,8.3,88,"1,005,046",$293.00M,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
113,The Father,(I) (2020),97 min,8.3,88,"128,452",#131,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
114,Babam ve Oglum,-2005,112 min,8.3,N/A,"85,065",#231,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
115,Toy Story 3,-2010,103 min,8.3,92,"806,874",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
116,Batman Begins,-2005,140 min,8.3,70,"1,407,060",$206.85M,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
117,"Swades: We, the People",-2004,210 min,8.3,N/A,"88,691",$1.22M,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
118,Inglourious Basterds,-2009,153 min,8.3,69,"1,380,265",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
119,Eternal Sunshine of the Spotless Mind,-2004,108 min,8.3,89,"972,634",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
120,Le fabuleux destin d'Amélie Poulain,-2001,122 min,8.3,69,"738,946",$33.23M,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
121,Snatch,-2000,104 min,8.3,55,"830,934",$30.33M,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
122,Requiem for a Dream,-2000,102 min,8.3,68,"814,574",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
123,L.A. Confidential,-1997,138 min,8.3,90,"567,157",$64.62M,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
124,Good Will Hunting,-1997,126 min,8.3,70,"929,052",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
125,Toy Story,-1995,81 min,8.3,95,"954,805",$191.80M,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.
126,Heat,-1995,170 min,8.3,76,"628,141",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
127,Reservoir Dogs,-1992,99 min,8.3,79,"982,899",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
128,Indiana Jones and the Last Crusade,-1989,127 min,8.3,65,"733,424",$197.17M,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers."
129,Die Hard,-1988,132 min,8.3,72,"851,621",$83.01M,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
130,Full Metal Jacket,-1987,116 min,8.3,76,"718,322",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
131,Scarface,-1983,170 min,8.3,65,"803,337",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
132,Star Wars: Episode VI - Return of the Jedi,-1983,131 min,8.3,58,"1,013,202",$309.13M,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
133,Taxi Driver,-1976,114 min,8.3,94,"787,683",$28.26M,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
134,Dersu Uzala,-1975,142 min,8.3,N/A,"27,621",#228,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
135,The Sting,-1973,129 min,8.3,83,"255,692",$159.60M,Two grifters team up to pull off the ultimate con.
136,A Clockwork Orange,-1971,136 min,8.3,77,"804,113",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
137,2001: A Space Odyssey,-1968,149 min,8.3,84,"646,548",$56.95M,"The Monoliths push humanity to reach for the stars; after their discovery in Africa generations ago, the mysterious objects lead mankind on an awesome journey to Jupiter, with the help of H.A.L. 9000: the world's greatest supercomputer."
138,Per qualche dollaro in più,-1965,132 min,8.3,74,"249,702",$15.00M,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
139,To Kill a Mockingbird,-1962,129 min,8.3,88,"309,885",#109,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice."
140,Lawrence of Arabia,-1962,218 min,8.3,100,"285,991",$44.82M,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
141,Judgment at Nuremberg,-1961,179 min,8.3,60,"75,649",#137,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
142,The Apartment,-1960,125 min,8.3,94,"176,836",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
143,North by Northwest,-1959,136 min,8.3,98,"319,577",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
144,Vertigo,-1958,128 min,8.3,100,"391,838",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
145,Singin' in the Rain,-1952,103 min,8.3,99,"235,030",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
146,Ikiru,-1952,143 min,8.3,91,"76,069",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
147,All About Eve,-1950,138 min,8.3,98,"128,685",$0.01M,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
148,Ladri di biciclette,-1948,89 min,8.3,N/A,"159,629",$0.33M,"In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
149,Double Indemnity,-1944,107 min,8.3,95,"153,305",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
150,Citizen Kane,-1941,119 min,8.3,100,"431,675",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
151,M - Eine Stadt sucht einen Mörder,-1931,117 min,8.3,N/A,"154,224",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
152,Metropolis,-1927,153 min,8.3,98,"170,474",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
